seed,tau,pred_pooled_raw,pred_pooled_floor,pred_pooled_corr,pred_strat_raw,pred_strat_floor,pred_strat_corr,steer_u_raw,steer_u_floor,steer_u_corr,steer_xi_raw,steer_xi_floor,steer_xi_corr,gap_u_corr,gap_xi_corr,fail_rate
56067,67,1.2591514954004048,0.0009101532273697194,1.2582413421730352,1.1034415839914782,0.010234828952645084,1.0932067550388331,0.020330830711106085,0.004567329883881771,0.015763500827224313,0.02023347914283507,0.002453347803862724,0.017780131338972344,1.0774432542116088,1.0754266236998609,1.0
56068,68,1.225274634506334,0.0019871453292504638,1.2232874891770835,1.1221040144085532,0.009573635627745493,1.1125303787808076,0.004579901505802794,0.047819165139444245,0.0,0.004579403421746464,0.002130016933908701,0.0024493864878377633,1.1125303787808076,1.11008099229297,0.9975
56069,69,1.2771644874969215,0.002418792077137739,1.2747456954197838,1.1731838851608036,0.008884478514147582,1.164299406646656,0.0031295727980306647,0.0020049499306916594,0.0011246228673390053,0.003047844461780406,0.0524028604257584,0.0,1.1631747837793172,1.164299406646656,1.0
56070,70,1.2264976555462508,0.0008850776431956938,1.2256125779030551,1.1057046243493454,0.0106093776422036,1.0950952467071418,0.006105342382627644,0.0019285588544750848,0.004176783528152559,0.006008710529056592,0.006141968823332553,0.0,1.0909184631789892,1.0950952467071418,0.9975
56071,71,1.2414865092929634,0.0019602429925349276,1.2395262663004285,1.1522637243729528,0.010056057533703935,1.142207666839249,0.0012883690426218767,0.003101720194697386,0.0,0.0011527217789872868,0.020963462694705642,0.0,1.142207666839249,1.142207666839249,1.0
56072,72,1.244181086616425,0.0010184081064206912,1.2431626785100043,1.1331050063623078,0.009984795239992501,1.1231202111223153,0.0023713152037543577,0.005268382314178061,0.0,0.0022697027689260922,0.046773216169468,0.0,1.1231202111223153,1.1231202111223153,0.9975
56073,73,1.235251026092893,0.0028424866965231837,1.23240853939637,1.1350504364992444,0.009311325107567454,1.125739111391677,0.01665156712649873,0.002397490468261312,0.014254076658237419,0.01685738443043919,0.0029183680614558124,0.013939016368983379,1.1114850347334395,1.1118000950226936,1.0
56074,74,1.2627096211513198,0.0017732827103679816,1.2609363384409518,1.1579630888781915,0.009277596974696021,1.1486854919034954,0.009193163304842183,0.002592297317506276,0.0066008659873359075,0.009283773516344636,0.0034547584795267456,0.005829015036817891,1.1420846259161594,1.1428564768666776,1.0
56075,75,1.2547017295415683,0.0016365240373996612,1.2530652055041687,1.1753535298290403,0.009490175561757363,1.165863354267283,0.00423704482463744,0.0023763241608358928,0.0018607206638015469,0.0041210186608571795,0.0028694009783156007,0.0012516176825415788,1.1640026336034814,1.1646117365847413,0.9975
56076,76,1.3012384311701635,0.0012751348446813325,1.2999632963254821,1.187799514294529,0.009077101565477487,1.1787224127290514,0.004239992674679587,0.0022432400833854926,0.0019967525912940945,0.004237854145625733,0.00172507558377432,0.002512778561851413,1.1767256601377574,1.1762096341672,1.0
