P,alpha,epsilon,tau_h_theory,tau_h_mc,error_relative,status,tau_max_used,mi_start,mi_end,mi_end_ci_lo,mi_end_ci_hi
0.1,0.00031622776601683794,0.01,22652.946699890606,23898.587713589783,0.05498803445757419,COVERED,33979.42004983591,4.9839543514960996,0.007117631026964286,0.0066628716684906985,0.0075723903854378735
0.1,0.001,0.01,7163.490728604908,7557.385327410042,0.054986404495821095,COVERED,10745.236092907362,4.9839543514960996,0.007117631026964849,0.006662871668491261,0.007572390385438436
0.1,0.0031622776601683794,0.01,2265.294669989061,2389.859036258092,0.054988151395611966,COVERED,3397.9420049835912,4.9839543514960996,0.007117631026964849,0.006662871668491261,0.007572390385438436
0.1,0.01,0.01,716.3490728604908,755.737289251328,0.054984668624688905,COVERED,2000.0,4.9839543514960996,0.003917995435146257,0.003585677250413618,0.004250313619878897
0.1,0.0001,0.03162277660168379,22313.664580593908,22993.537812979746,0.030468918717059194,COVERED,33470.496870890864,4.9839543514960996,0.022002784848407026,0.021185482024413338,0.022820087672400714
0.1,0.00031622776601683794,0.03162277660168379,7056.200301970254,7271.145837466959,0.030461937912489127,COVERED,10584.300452955382,4.9839543514960996,0.022002784848406794,0.021185482024413105,0.022820087672400482
0.1,0.001,0.03162277660168379,2231.366458059391,2299.3492770676603,0.030466900119756106,COVERED,3347.0496870890865,4.9839543514960996,0.022002784848407026,0.021185482024413338,0.022820087672400714
0.1,0.0031622776601683794,0.03162277660168379,705.6200301970255,727.1265495311222,0.03047889574236101,COVERED,2000.0,4.9839543514960996,0.011880900521299448,0.011286830935585126,0.01247497010701377
0.1,0.01,0.03162277660168379,223.13664580593908,229.97812142733446,0.03066047531854259,COVERED,2000.0,4.9839543514960996,0.003917995435146257,0.003585677250413618,0.004250313619878897
0.1,0.0001,0.1,6724.023958872571,6836.620785135913,0.016745452864540603,COVERED,10086.035938308856,4.9839543514960996,0.06950349267192604,0.0680394543660393,0.07096753097781279
0.1,0.00031622776601683794,0.1,2126.3230751579677,2161.938392618591,0.016749720621819175,COVERED,3189.4846127369515,4.9839543514960996,0.06950349267192604,0.0680394543660393,0.07096753097781279
0.1,0.001,0.1,672.4023958872572,683.6715620612551,0.01675955684115006,COVERED,2000.0,4.9839543514960996,0.03616873124012702,0.03511436509680033,0.0372230973834537
0.1,0.0031622776601683794,0.1,212.63230751579678,216.23485438591348,0.01694261287104293,COVERED,2000.0,4.9839543514960996,0.011880900521299448,0.011286830935585126,0.01247497010701377
0.1,0.01,0.1,67.24023958872571,68.47124021844657,0.01830749915898957,COVERED,2000.0,4.9839543514960996,0.003917995435146257,0.003585677250413618,0.004250313619878897
1.0,0.0001,0.001,7208475.359689824,nan,nan,OUT_OF_RANGE,250000.0,6.644171738955926,0.029171932922241302,0.028227202365688927,0.030116663478793677
1.0,0.00031622776601683794,0.001,2279520.0593821355,nan,nan,OUT_OF_RANGE,250000.0,6.644171738955926,0.009573630318587273,0.009042722743688817,0.010104537893485728
1.0,0.001,0.001,720847.5359689825,nan,nan,OUT_OF_RANGE,250000.0,6.644171738955926,0.0031662779660622115,0.0028693616209984232,0.0034631943111259997
1.0,0.0031622776601683794,0.001,227952.00593821355,nan,nan,NO_CROSS,250000.0,6.644171738955926,0.0010733013854161628,0.0009071206637119274,0.0012394821071203981
1.0,0.01,0.001,72084.75359689824,85354.91421347493,0.18409108659487314,COVERED,108127.13039534737,6.644171738955926,0.0008048773844882189,0.0006629244535591477,0.0009468303154172901
1.0,0.0001,0.0031622776601683794,2276103.80232465,nan,nan,OUT_OF_RANGE,250000.0,6.644171738955926,0.029171932922241302,0.028227202365688927,0.030116663478793677
1.0,0.00031622776601683794,0.0031622776601683794,719767.2206315546,nan,nan,OUT_OF_RANGE,250000.0,6.644171738955926,0.009573630318587273,0.009042722743688817,0.010104537893485728
