tau,seed,pred_pooled_raw,pred_pooled_floor,pred_pooled_corr,pred_strat_raw,pred_strat_floor,pred_strat_corr,steer_u_raw,steer_u_floor,steer_u_corr,steer_xi_raw,steer_xi_floor,steer_xi_corr,gap_u_corr,gap_xi_corr,fail_rate
57,51557.0,1.0978068443093503,0.023589586407397632,1.0742172579019527,1.0533832406465171,0.009243377086863673,1.0441398635596535,0.02089309823228855,0.012386521908287939,0.01672704383798622,0.020629877489056335,0.011375765757109522,0.0155668686193187,1.0274128197216672,1.0285729949403348,0.9995
58,51558.0,1.1081490781136343,0.0032903940093691915,1.104858684104265,1.04687920449584,0.009260241769401658,1.0376189627264385,0.019008527345537596,0.002927317888507915,0.016247212211950066,0.018776801508232688,0.005619842105991861,0.014852548492943221,1.0213717505144884,1.0227664142334953,0.999625
59,51559.0,1.1249060103375592,0.0022077323369528432,1.1226982780006065,1.0559226410120182,0.009590266709154794,1.0463323743028634,0.017374083584258595,0.011081545641178586,0.011650309937080914,0.017097661916859887,0.00866203113302079,0.012274485890670987,1.0346820643657826,1.0340578884121925,0.99975
60,51560.0,1.1372388390265384,0.00863309455217066,1.1286057444743676,1.0518279124485428,0.009617096539271413,1.0422108159092716,0.018154766335930828,0.007476599772317634,0.015031787645616187,0.017975466210854614,0.012411910218675616,0.010362086692358035,1.0271790282636555,1.0318487292169136,0.99975
61,51561.0,1.1488600895940175,0.035651499159309936,1.1132085904347075,1.0703967700881045,0.009606818496670996,1.0607899515914334,0.014678120938567435,0.011482749393026749,0.010320738458317286,0.01448341856973391,0.0028271532621727833,0.011898083324860278,1.0504692131331161,1.048891868266573,0.999625
62,51562.0,1.1595083888739677,0.0018262296986582556,1.1576821591753093,1.066663181790767,0.009468366208408992,1.057194815582358,0.012697871252047268,0.007509873442007056,0.008627085731342082,0.012513000143360922,0.010486780340146948,0.008030854406266259,1.0485677298510159,1.049163961176092,0.999875
63,51563.0,1.174026269770339,0.03499145807035392,1.139034811699985,1.070371181874802,0.009706718449516063,1.060664463425286,0.014303640534938461,0.008733358672161505,0.011016829885239113,0.014136446267434174,0.006224881913822494,0.009732311578994847,1.0496476335400469,1.050932151846291,0.999875
64,51564.0,1.1700710807219161,0.005812184367240871,1.1642588963546754,1.0861700639145986,0.009552746251751874,1.0766173176628464,0.008281322599635307,0.006410610616345379,0.004179926023539491,0.00813949548902379,0.007028512458124289,0.005408393973563886,1.0724373916393068,1.0712089236892826,0.998875
65,51565.0,1.1812216400375035,0.011239341831663845,1.1699822982058397,1.0783568630730698,0.009326980658458446,1.0690298824146112,0.011749650513587265,0.0038080926496934604,0.008195201087425259,0.01165943788073354,0.005797799922922077,0.0071348996289527815,1.0608346813271858,1.0618949827856583,0.9995
66,51566.0,1.190323009571364,0.0018147713454594015,1.1885082382259047,1.0894803984733934,0.00956708583587596,1.0799133126375176,0.009600147685418252,0.008896983510822201,0.005464714560795711,0.009469424300424554,0.0030077314668909916,0.0071045766700267455,1.0744485980767218,1.0728087359674907,0.999625
